"ID","lv"
"ABAT_0001_I_0001_1","Esi sveicinats adaptivaja pulsa uztveres testa!"
"ABAT_0002_I_0001_1","Šaja testa tiek novertetas tavas pulsa uztveres spejas muzika.\\ Tu dzirdesi dažus muzikas fragmentus. Katra  fragmenta kopa ar muziku skanes ari pikstieni.\\Tev ir janosaka, vai šie pikstieni **IR** pulsa vai **NAV** pulsa"
"ABAT_0003_I_0001_1","Nospied 'Talak', lai dzirdetu dažus piemerus"
"ABAT_0004_I_0001_1","Piemers - **IR** pulsa\\Šaja piemera pikstieni  **IR** pulsa"
"ABAT_0005_I_0001_1","Tavs pulsa uztveres IQ bija:"
"ABAT_0006_I_0001_1","Piemers - **IR** pulsa\\Šaja piemera pikstieni **NAV** pulsa."
"ABAT_0007_I_0001_1","Pulsa uztveres IQ"
"ABAT_0008_I_0001_1","Testa pec kartas tiks atskanotas viena muzikas fragmenta divas versijas.\\Viena versija pikstieni  **IR** pulsa, bet otra versija - **NAV** pulsa.\\ Tavs uzdevums ir noteikt, vai pikstiens **IR** pulsa pirmaja vai otraja versija."
"ABAT_0009_I_0001_1","**Piemers {{no_example}}/2**\\Kura fragmenta pikstiens **IR** pulsa?"
"ABAT_0010_I_0001_1","Pirmaja"
"ABAT_0011_I_0001_1","Pareizi"
"ABAT_0012_I_0001_1","**{{feedback}}**\\Spied 'Turpinat', lai izmeginatu citu piemeru."
"ABAT_0013_I_0001_1","Nepareizi."
"ABAT_0014_I_0001_1","**{{feedback}}**\\Spied 'Atgriezties atpakal', lai izlasitu instrukcijas un velreiz izmeginatu piemerus,\\vai spied 'Talak', lai parietu pie galvena testa."
"ABAT_0015_I_0001_1","Otraja"
"ABAT_0016_I_0001_1","Tagad tu pariesi pie galvena testa. Testa rezultati tiks saglabati.\\Tu nesanemsi atgriezenisko saiti. Veiksmi!"
"ABAT_0017_I_0001_1","Jautajums **{{num_question}}** no **{{test_length}}**."
"ABAT_0018_I_0001_1","Tava parlukprogramma neatbalsta audio. Atvaino, šis tests nestradas bez audio!"
"ABAT_0019_I_0001_1","Viena muzikas fragmenta pikstieni **IR** pulsa, bet otra tie **NAV** pulsa.\\Kura fragmenta pikstieni **IR** pulsa? Ja tu nezini, megini uzminet!"
"ABAT_0020_I_0001_1","Tu esi pabeidzis pulsa uztveres testu!"
"ABAT_0021_I_0001_1","Talak"
"ABAT_0022_I_0001_1","Atgriezties atpakal"
"enter_p_id","Ludzu, ievadi savu dalibnieka ID numuru"
"results_have_been_saved","Tavi rezultati ir saglabati"
"you_may_close_browser","Tagad tu vari aizvert parlukprogrammas logu"
"demo_intro","Esi sveicinats **Adaptivaja pulsa uztveres testa**!\\Šis tests pielagojas tavam sniegumam. Ja tev viss izdodas, tev tiks doti sarežgitaki uzdevumi.\\Parasti šis pielagošanas process dalibniekam netiek radits. Tomer, lai to tev paraditu, mes nodemonstresim tava snieguma rezultatus un atbilstošo grutibas pakapi katra izmeginajuma reize."
